<DATE>,<TIME>,<CLOSE>,<OPEN>,<HIGH>,<LOW>,<VOLUME>
2010-12-20,0,122.5,122.5,122.5,122.5,
2010-12-21,0,123.25,123.25,123.25,123.25,
2010-12-22,0,125.5,125.5,125.5,125.5,
2010-12-23,0,125.25,125.25,125.25,125.25,
2010-12-27,0,125.0,125.0,125.0,125.0,
2010-12-28,0,125.0,125.0,125.0,125.0,
2010-12-29,0,131.0,131.0,131.0,131.0,
2010-12-30,0,132.0,132.0,132.0,132.0,
2010-12-31,0,132.0,132.0,132.0,132.0,
2011-01-03,0,132.0,132.0,132.0,132.0,
2011-01-04,0,128.25,128.25,128.25,128.25,
2011-01-05,0,123.5,123.5,123.5,123.5,
2011-01-06,0,126.25,126.25,126.25,126.25,
2011-01-07,0,129.75,129.75,129.75,129.75,
2011-01-10,0,130.25,130.25,130.25,130.25,
2011-01-11,0,129.5,129.5,129.5,129.5,
2011-01-12,0,128.25,128.25,128.25,128.25,
2011-01-13,0,128.0,128.0,128.0,128.0,
2011-01-14,0,127.5,127.5,127.5,127.5,
2011-01-18,0,125.0,125.0,125.0,125.0,
2011-01-19,0,125.75,125.75,125.75,125.75,
2011-01-20,0,126.3,126.3,126.3,126.3,
2011-01-21,0,125.95,125.95,125.95,125.95,
2011-01-24,0,125.8,125.8,125.8,125.8,
2011-01-25,0,124.85,124.85,124.85,124.85,
2011-01-26,0,124.5,124.5,124.5,124.5,
2011-01-27,0,124.2,124.2,124.2,124.2,
2011-01-28,0,124.0,124.0,124.0,124.0,
2011-01-31,0,119.25,119.25,119.25,119.25,
2011-02-01,0,119.2,119.2,119.2,119.2,
2011-02-02,0,120.55,120.55,120.55,120.55,
2011-02-03,0,121.75,121.75,121.75,121.75,
2011-02-04,0,122.05,122.05,122.05,122.05,
2011-02-07,0,120.0,120.0,120.0,120.0,
2011-02-08,0,119.5,119.5,119.5,119.5,
2011-02-09,0,119.25,119.25,119.25,119.25,
2011-02-10,0,119.25,119.25,119.25,119.25,
2011-02-11,0,119.25,119.25,119.25,119.25,
2011-02-14,0,119.2,119.2,119.2,119.2,
2011-02-15,0,119.15,119.15,119.15,119.15,
2011-02-16,0,119.0,119.0,119.0,119.0,
2011-02-17,0,119.0,119.0,119.0,119.0,
2011-02-18,0,119.05,119.05,119.05,119.05,
2011-02-22,0,119.25,119.25,119.25,119.25,
2011-02-23,0,119.3,119.3,119.3,119.3,
2011-02-24,0,119.25,119.25,119.25,119.25,
2011-02-25,0,119.2,119.2,119.2,119.2,
2011-02-28,0,120.0,120.0,120.0,120.0,
2011-03-01,0,119.75,119.75,119.75,119.75,
2011-03-02,0,120.25,120.25,120.25,120.25,
2011-03-03,0,121.0,121.0,121.0,121.0,
2011-03-04,0,122.0,122.0,122.0,122.0,
2011-03-07,0,123.25,123.25,123.25,123.25,
2011-03-08,0,123.0,123.0,123.0,123.0,
2011-03-09,0,123.0,123.0,123.0,123.0,
2011-03-10,0,122.0,122.0,122.0,122.0,
2011-03-11,0,122.5,122.5,122.5,122.5,
2011-03-14,0,123.25,123.25,123.25,123.25,
2011-03-15,0,124.25,124.25,124.25,124.25,
2011-03-16,0,125.0,125.0,125.0,125.0,
2011-03-17,0,124.75,124.75,124.75,124.75,
2011-03-18,0,124.75,124.75,124.75,124.75,
2011-03-21,0,125.0,125.0,125.0,125.0,
2011-03-22,0,125.25,125.25,125.25,125.25,
2011-03-23,0,125.25,125.25,125.25,125.25,
2011-03-24,0,125.25,125.25,125.25,125.25,
2011-03-25,0,125.5,125.5,125.5,125.5,
2011-03-28,0,126.75,126.75,126.75,126.75,
2011-03-29,0,125.5,125.5,125.5,125.5,
2011-03-30,0,125.5,125.5,125.5,125.5,
2011-03-31,0,127.5,127.5,127.5,127.5,
2011-04-01,0,128.0,128.0,128.0,128.0,
2011-04-04,0,129.75,129.75,129.75,129.75,
2011-04-05,0,128.25,128.25,128.25,128.25,
2011-04-06,0,128.5,128.5,128.5,128.5,
2011-04-07,0,128.25,128.25,128.25,128.25,
2011-04-08,0,128.5,128.5,128.5,128.5,
2011-04-11,0,128.75,128.75,128.75,128.75,
2011-04-12,0,128.25,128.25,128.25,128.25,
2011-04-13,0,128.25,128.25,128.25,128.25,
2011-04-14,0,128.0,128.0,128.0,128.0,
2011-04-15,0,128.25,128.25,128.25,128.25,
2011-04-18,0,128.0,128.0,128.0,128.0,
2011-04-19,0,128.0,128.0,128.0,128.0,
2011-04-20,0,128.0,128.0,128.0,128.0,
2011-04-21,0,128.0,128.0,128.0,128.0,
2011-04-25,0,128.0,128.0,128.0,128.0,
2011-04-26,0,127.9,127.9,127.9,127.9,
2011-04-27,0,127.85,127.85,127.85,127.85,
2011-04-28,0,127.85,127.85,127.85,127.85,
2011-05-02,0,128.0,128.0,128.0,128.0,
2011-05-03,0,127.75,127.75,127.75,127.75,
2011-05-04,0,127.75,127.75,127.75,127.75,
2011-05-05,0,126.55,126.55,126.55,126.55,
2011-05-06,0,126.3,126.3,126.3,126.3,
2011-05-09,0,125.85,125.85,125.85,125.85,
2011-05-10,0,125.15,125.15,125.15,125.15,
2011-05-11,0,124.7,124.7,124.7,124.7,
2011-05-12,0,124.25,124.25,124.25,124.25,
2011-05-13,0,123.65,123.65,123.65,123.65,
2011-05-16,0,123.65,123.65,123.65,123.65,
2011-05-17,0,123.55,123.55,123.55,123.55,
2011-05-18,0,123.55,123.55,123.55,123.55,
2011-05-19,0,123.5,123.5,123.5,123.5,
2011-05-20,0,123.55,123.55,123.55,123.55,
2011-05-23,0,123.35,123.35,123.35,123.35,
2011-05-24,0,123.25,123.25,123.25,123.25,
2011-05-25,0,123.1,123.1,123.1,123.1,
2011-05-26,0,122.9,122.9,122.9,122.9,
2011-05-31,0,122.15,122.15,122.15,122.15,
2011-06-01,0,121.85,121.85,121.85,121.85,
2011-06-02,0,121.7,121.7,121.7,121.7,
2011-06-03,0,122.15,122.15,122.15,122.15,
2011-06-06,0,123.2,123.2,123.2,123.2,
2011-06-07,0,123.85,123.85,123.85,123.85,
2011-06-08,0,123.75,123.75,123.75,123.75,
2011-06-09,0,123.55,123.55,123.55,123.55,
2011-06-10,0,123.35,123.35,123.35,123.35,
2011-06-13,0,123.6,123.6,123.6,123.6,
2011-06-14,0,123.55,123.55,123.55,123.55,
2011-06-15,0,123.45,123.45,123.45,123.45,
2011-06-16,0,123.15,123.15,123.15,123.15,
2011-06-17,0,123.1,123.1,123.1,123.1,
2011-06-20,0,122.95,122.95,122.95,122.95,
2011-06-21,0,122.8,122.8,122.8,122.8,
2011-06-22,0,122.7,122.7,122.7,122.7,
2011-06-23,0,122.65,122.65,122.65,122.65,
2011-06-24,0,122.7,122.7,122.7,122.7,
2011-06-27,0,122.7,122.7,122.7,122.7,
2011-06-28,0,121.4,121.4,121.4,121.4,
2011-06-29,0,122.45,122.45,122.45,122.45,
2011-06-30,0,122.45,122.45,122.45,122.45,
2011-07-01,0,122.45,122.45,122.45,122.45,
2011-07-05,0,123.5,123.5,123.5,123.5,
2011-07-06,0,123.15,123.15,123.15,123.15,
2011-07-07,0,123.15,123.15,123.15,123.15,
2011-07-08,0,122.95,122.95,122.95,122.95,
2011-07-11,0,122.8,122.8,122.8,122.8,
2011-07-12,0,122.8,122.8,122.8,122.8,
2011-07-13,0,122.8,122.8,122.8,122.8,
2011-07-14,0,122.9,122.9,122.9,122.9,
2011-07-15,0,122.9,122.9,122.9,122.9,
2011-07-18,0,122.85,122.85,122.85,122.85,
2011-07-19,0,122.9,122.9,122.9,122.9,
2011-07-20,0,122.95,122.95,122.95,122.95,
2011-07-21,0,123.05,123.05,123.05,123.05,
2011-07-22,0,123.1,123.1,123.1,123.1,
2011-07-25,0,123.2,123.2,123.2,123.2,
2011-07-26,0,123.25,123.25,123.25,123.25,
2011-07-27,0,123.3,123.3,123.3,123.3,
2011-07-28,0,123.4,123.4,123.4,123.4,
2011-08-01,0,125.6,125.6,125.6,125.6,
2011-08-02,0,126.25,126.25,126.25,126.25,
2011-08-03,0,126.35,126.35,126.35,126.35,0.01K
2011-08-04,0,126.35,126.35,126.35,126.35,
2011-08-05,0,126.2,126.2,126.2,126.2,
2011-08-08,0,125.65,125.65,125.65,125.65,
2011-08-09,0,125.1,125.1,125.1,125.1,
2011-08-10,0,125.35,125.35,125.35,125.35,
2011-08-11,0,125.45,125.45,125.45,125.45,
2011-08-12,0,125.7,125.7,125.7,125.7,
2011-08-15,0,125.7,125.7,125.7,125.7,
2011-08-16,0,125.65,125.65,125.65,125.65,
2011-08-17,0,125.6,125.6,125.6,125.6,
2011-08-18,0,125.3,125.3,125.3,125.3,
